ids,sentiment,sarcasm,vulgar,abuse,target
image_tamil_0139.jpg,negative,no,not vulgar,non-abusive,others
image_tamil_0227.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0396.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0539.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0833.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0634.jpg,negative,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0379.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0984.jpg,positive,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0418.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0291.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0315.jpg,positive,no,not vulgar,non-abusive,others
image_tamil_0149.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0219.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0232.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0919.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0713.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0325.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0778.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0543.jpg,negative,yes,not vulgar,abusive,individual
image_tamil_0618.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0978.jpg,neutral,yes,not vulgar,non-abusive,others
image_tamil_0847.jpg,negative,yes,not vulgar,non-abusive,others
image_tamil_0342.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0512.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0701.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0434.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0696.jpg,negative,yes,not vulgar,non-abusive,gender
image_tamil_0656.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0835.jpg,positive,yes,not vulgar,non-abusive,others
image_tamil_0452.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0653.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_1000.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0102.jpg,neutral,no,not vulgar,non-abusive,others
image_tamil_0147.jpg,negative,no,vulgar,non-abusive,individual
image_tamil_0524.jpg,negative,yes,not vulgar,non-abusive,individual
image_tamil_0865.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0300.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0996.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0876.png,neutral,no,not vulgar,non-abusive,individual
image_tamil_0817.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0004.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0547.jpg,neutral,yes,not vulgar,non-abusive,social sub-groups
image_tamil_0071.jpg,neutral,no,not vulgar,non-abusive,none
image_tamil_0145.jpg,neutral,no,not vulgar,non-abusive,individual
image_tamil_0010.jpg,neutral,yes,not vulgar,non-abusive,individual
image_tamil_0489.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0251.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0259.jpg,positive,no,not vulgar,non-abusive,individual
image_tamil_0423.jpg,negative,no,not vulgar,non-abusive,individual
image_tamil_0712.jpg,negative,yes,not vulgar,non-abusive,political
image_tamil_0096.jpg,neutral,no,not vulgar,non-abusive,none
